"Cloud Project ""Lemonphi"" (01/12/2023 - 31/12/2023)","Server cax31","1 Server
Billed monthly
Quantity type: Months
","2023-12-01","2023-12-31","1.0000000000","11.9900000000","11.9900",""
"Cloud Project ""Lemonphi"" (01/12/2023 - 31/12/2023)","IP","1 IP
Billed monthly
Quantity type: Months
","2023-12-01","2023-12-31","1.0000000000","0.5000000000","0.5000",""
"Cloud Project ""Lemonphi"" (01/12/2023 - 31/12/2023)","Load Balancer lb11","1 Load Balancer
Billed monthly
Quantity type: Months
","2023-12-01","2023-12-31","1.0000000000","5.3900000000","5.3900",""
"Cloud Project ""Lemonphi"" (01/12/2023 - 31/12/2023)","Snapshot","1 Snapshot
Billed per GB per month
Quantity type: GB/Months
","2023-12-01","2023-12-31","5.9344406250","0.0110000000","0.0653",""
"Cloud Project ""DemoStuff"" (01/12/2023 - 31/12/2023)","IP","1 IP
Billed monthly
Quantity type: Months
","2023-12-01","2023-12-31","1.0000000000","0.5000000000","0.5000",""
"Cloud Project ""DemoStuff"" (01/12/2023 - 31/12/2023)","Server cpx11","1 Server
Billed monthly
Quantity type: Months
","2023-12-01","2023-12-31","1.0000000000","3.2900000000","3.2900",""
"Hosting","Level 1- hosting","lemonphi.com","2023-12-18","2024-01-17","1.0000000000","1.7600000000","1.7600",""
"Hosting","NX11- hosting","nx39085.your-storageshare.de","2023-12-23","2024-01-22","1.0000000000","4.2900000000","4.2900",""
"Domains",".app domain registration","lemonphi.app","2023-12-06","2024-12-05","1.0000000000","21.0000000000","21.0000",""
"Domains",".app domain registration","lemontiger.app","2023-12-06","2024-12-05","1.0000000000","21.0000000000","21.0000",""
"Domains",".app domain registration","sveltelines.app","2023-12-19","2024-12-18","1.0000000000","21.0000000000","21.0000",""
